Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
1301.66016,3.4288e-012,3.4288e-012
1301.66775,3.88959e-012,3.88959e-012
1301.67535,3.47011e-012,3.47011e-012
1301.68294,2.83849e-012,2.83849e-012
1301.69054,3.44163e-012,3.44163e-012
1301.69813,4.15731e-012,4.15731e-012
1301.70573,4.47965e-012,4.47965e-012
1301.71332,1.74953e-012,1.74953e-012
1301.72092,2.82428e-012,2.82428e-012
1301.72852,2.28349e-012,2.28349e-012
1301.73611,3.6955e-012,3.6955e-012
1301.74371,5.54387e-012,5.54387e-012
1301.7513,3.47208e-012,3.47208e-012
1301.7589,4.41739e-012,4.41739e-012
1301.76649,4.44769e-012,4.44769e-012
1301.77409,4.17234e-012,4.17234e-012
1301.78168,3.69654e-012,3.69654e-012
1301.78928,3.5667e-012,3.5667e-012
1301.79688,3.14807e-012,3.14807e-012
1301.80447,1.91974e-012,1.91974e-012
1301.81207,2.60628e-012,2.60628e-012
1301.81966,4.81927e-012,4.81927e-012
1301.82726,5.51092e-012,5.51092e-012
1301.83485,3.07998e-012,3.07998e-012
1301.84245,2.60016e-012,2.60016e-012
1301.85004,2.69249e-012,2.69249e-012
1301.85764,2.10232e-012,2.10232e-012
1301.86523,2.95659e-012,2.95659e-012
1301.87283,3.65044e-012,3.65044e-012
1301.88043,2.55027e-012,2.55027e-012
1301.88802,4.34691e-012,4.34691e-012
1301.89562,3.65932e-012,3.65932e-012
1301.90321,5.48967e-012,5.48967e-012
1301.91081,5.9156e-012,5.9156e-012
1301.9184,4.80194e-012,4.80194e-012
1301.926,4.16461e-012,4.16461e-012
1301.93359,3.18415e-012,3.18415e-012
1301.94119,2.90512e-012,2.90512e-012
1301.94878,2.57625e-012,2.57625e-012
1301.95638,1.25256e-012,1.25256e-012
1301.96398,1.82588e-012,1.82588e-012
1301.97157,3.42898e-012,3.42898e-012
1301.97917,4.65868e-012,4.65868e-012
1301.98676,5.03947e-012,5.03947e-012
1301.99436,3.40689e-012,3.40689e-012
1302.00195,3.34463e-012,3.34463e-012
1302.00955,5.55669e-012,5.55669e-012
1302.01714,4.43586e-012,4.43586e-012
1302.02474,4.6812e-012,4.6812e-012
1302.03234,5.35356e-012,5.35356e-012
1302.03993,4.57363e-012,4.57363e-012
1302.04753,2.09572e-012,2.09572e-012
1302.05512,2.02105e-012,2.02105e-012
1302.06272,2.13718e-012,2.13718e-012
1302.07031,4.09989e-012,4.09989e-012
1302.07791,4.82427e-012,4.82427e-012
1302.0855,3.70314e-012,3.70314e-012
1302.0931,1.98514e-012,1.98514e-012
1302.10069,3.99477e-012,3.99477e-012
1302.10829,4.95547e-012,4.95547e-012
1302.11589,2.44732e-012,2.44732e-012
1302.12348,2.15581e-012,2.15581e-012
1302.13108,2.43877e-012,2.43877e-012
1302.13867,2.45797e-012,2.45797e-012
1302.14627,1.59792e-012,1.59792e-012
1302.15386,1.12777e-012,1.12777e-012
1302.16146,1.42951e-012,1.42951e-012
1302.16905,2.6322e-012,2.6322e-012
1302.17665,4.09037e-012,4.09037e-012
1302.18424,3.60416e-012,3.60416e-012
1302.19184,3.13496e-012,3.13496e-012
1302.19944,1.27841e-012,1.27841e-012
1302.20703,3.57909e-012,3.57909e-012
1302.21463,4.44765e-012,4.44765e-012
1302.22222,3.47636e-012,3.47636e-012
1302.22982,2.48649e-012,2.48649e-012
1302.23741,1.96048e-012,1.96048e-012
1302.24501,2.33836e-012,2.33836e-012
1302.2526,2.80575e-012,2.80575e-012
