Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
1305.66298,2.24261e-012,2.24261e-012
1305.67057,1.941e-012,1.941e-012
1305.67817,2.36727e-012,2.36727e-012
1305.68576,3.205e-012,3.205e-012
1305.69336,3.59029e-012,3.59029e-012
1305.70095,2.50815e-012,2.50815e-012
1305.70855,2.30865e-012,2.30865e-012
1305.71615,8.37497e-013,8.37497e-013
1305.72374,2.24774e-012,2.24774e-012
1305.73134,3.45384e-012,3.45384e-012
1305.73893,3.76837e-012,3.76837e-012
1305.74653,4.46647e-012,4.46647e-012
1305.75412,3.1623e-012,3.1623e-012
1305.76172,1.22925e-012,1.22925e-012
1305.76931,1.91606e-012,1.91606e-012
1305.77691,1.93098e-012,1.93098e-012
1305.78451,2.09552e-012,2.09552e-012
1305.7921,4.11148e-012,4.11148e-012
1305.7997,3.89741e-012,3.89741e-012
1305.80729,6.03756e-012,6.03756e-012
1305.81489,4.69571e-012,4.69571e-012
1305.82248,5.41826e-012,5.41826e-012
1305.83008,2.99781e-012,2.99781e-012
1305.83767,2.43469e-012,2.43469e-012
1305.84527,1.71705e-012,1.71705e-012
1305.85286,3.46915e-012,3.46915e-012
1305.86046,3.3084e-012,3.3084e-012
1305.86806,2.76424e-012,2.76424e-012
1305.87565,2.73999e-012,2.73999e-012
1305.88325,4.88591e-012,4.88591e-012
1305.89084,6.10448e-012,6.10448e-012
1305.89844,4.41001e-012,4.41001e-012
1305.90603,2.2834e-012,2.2834e-012
1305.91363,2.01539e-012,2.01539e-012
1305.92122,1.88589e-012,1.88589e-012
1305.92882,2.75265e-012,2.75265e-012
1305.93642,3.20334e-012,3.20334e-012
1305.94401,1.94711e-012,1.94711e-012
1305.95161,8.37485e-013,8.37485e-013
1305.9592,1.59201e-012,1.59201e-012
1305.9668,1.6883e-012,1.6883e-012
1305.97439,2.71269e-012,2.71269e-012
1305.98199,3.544e-012,3.544e-012
1305.98958,3.31853e-012,3.31853e-012
1305.99718,2.88555e-012,2.88555e-012
1306.00477,3.19164e-012,3.19164e-012
1306.01237,2.98868e-012,2.98868e-012
1306.01997,3.34446e-012,3.34446e-012
1306.02756,3.80444e-012,3.80444e-012
1306.03516,3.10975e-012,3.10975e-012
1306.04275,2.88712e-012,2.88712e-012
1306.05035,1.71261e-012,1.71261e-012
1306.05794,3.10392e-012,3.10392e-012
1306.06554,4.02494e-012,4.02494e-012
1306.07313,1.94996e-012,1.94996e-012
1306.08073,1.26956e-012,1.26956e-012
1306.08832,2.15508e-012,2.15508e-012
1306.09592,3.58343e-012,3.58343e-012
1306.10352,5.08682e-012,5.08682e-012
1306.11111,5.19871e-012,5.19871e-012
1306.11871,2.5907e-012,2.5907e-012
1306.1263,3.905e-012,3.905e-012
1306.1339,4.31829e-012,4.31829e-012
1306.14149,3.85242e-012,3.85242e-012
1306.14909,3.32929e-012,3.32929e-012
