Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
652.933984,2.97488e-011,2.97488e-011
652.94158,5.76815e-011,5.76815e-011
652.949175,6.90315e-011,6.90315e-011
652.956771,3.82643e-011,3.82643e-011
652.964366,3.67671e-011,3.67671e-011
652.971962,1.07833e-010,1.07833e-010
652.979557,1.79583e-010,1.79583e-010
652.987153,1.43611e-010,1.43611e-010
652.994748,3.12017e-011,3.12017e-011
653.002344,8.24802e-013,8.24802e-013
653.009939,1.51679e-011,1.51679e-011
653.017535,2.36421e-011,2.36421e-011
653.02513,1.76571e-011,1.76571e-011
653.032726,5.34781e-011,5.34781e-011
653.040321,2.90316e-011,2.90316e-011
653.047917,7.31635e-012,7.31635e-012
653.055512,2.68773e-011,2.68773e-011
653.063108,1.51404e-011,1.51404e-011
653.070703,3.55827e-011,3.55827e-011
653.078299,3.78863e-011,3.78863e-011
653.085894,1.57427e-011,1.57427e-011
653.09349,5.55826e-012,5.55826e-012
653.101085,6.54214e-013,6.54214e-013
653.108681,2.24911e-012,2.24911e-012
653.116276,2.44073e-012,2.44073e-012
653.123872,6.02641e-012,6.02641e-012
653.131467,6.67537e-012,6.67537e-012
653.139063,2.49608e-011,2.49608e-011
653.146658,6.65187e-012,6.65187e-012
653.154254,2.44402e-012,2.44402e-012
653.161849,4.01209e-012,4.01209e-012
653.169444,8.98538e-012,8.98538e-012
653.17704,9.51395e-012,9.51395e-012
653.184635,2.45689e-011,2.45689e-011
653.192231,8.15107e-012,8.15107e-012
653.199826,2.23217e-012,2.23217e-012
653.207422,6.65684e-012,6.65684e-012
653.215017,5.63822e-012,5.63822e-012
653.222613,1.84212e-011,1.84212e-011
653.230208,4.04765e-011,4.04765e-011
653.237804,7.02224e-011,7.02224e-011
653.245399,9.29992e-011,9.29992e-011
653.252995,7.69329e-011,7.69329e-011
653.26059,1.44641e-011,1.44641e-011
653.268186,1.94046e-011,1.94046e-011
653.275781,7.74682e-012,7.74682e-012
653.283377,2.64845e-011,2.64845e-011
653.290972,2.21995e-011,2.21995e-011
653.298568,7.51559e-013,7.51559e-013
653.306163,5.70652e-011,5.70652e-011
653.313759,2.17963e-010,2.17963e-010
653.321354,2.82433e-010,2.82433e-010
653.32895,2.63413e-010,2.63413e-010
653.336545,2.29482e-010,2.29482e-010
653.344141,1.45871e-010,1.45871e-010
653.351736,1.24616e-010,1.24616e-010
653.359332,1.1883e-010,1.1883e-010
653.366927,8.17741e-011,8.17741e-011
653.374523,4.56903e-011,4.56903e-011
653.382118,1.92178e-011,1.92178e-011
653.389714,1.89527e-011,1.89527e-011
653.397309,2.88448e-011,2.88448e-011
653.404905,1.35115e-010,1.35115e-010
653.4125,7.83002e-011,7.83002e-011
653.420096,3.34349e-011,3.34349e-011
653.427691,1.86844e-011,1.86844e-011
653.435287,3.7936e-012,3.7936e-012
653.442882,6.9451e-012,6.9451e-012
653.450477,1.08837e-011,1.08837e-011
653.458073,7.38117e-012,7.38117e-012
653.465668,3.72709e-013,3.72709e-013
653.473264,8.95113e-012,8.95113e-012
653.480859,6.64191e-012,6.64191e-012
653.488455,1.32286e-012,1.32286e-012
653.49605,1.9366e-012,1.9366e-012
653.503646,8.75049e-012,8.75049e-012
653.511241,5.5719e-012,5.5719e-012
653.518837,7.49245e-012,7.49245e-012
653.526432,1.08651e-011,1.08651e-011
653.534028,1.91363e-011,1.91363e-011
653.541623,2.43182e-011,2.43182e-011
653.549219,1.27926e-011,1.27926e-011
653.556814,1.09903e-011,1.09903e-011
653.56441,7.75204e-012,7.75204e-012
653.572005,9.74344e-012,9.74344e-012
653.579601,3.5774e-011,3.5774e-011
653.587196,9.07247e-011,9.07247e-011
653.594792,5.50168e-011,5.50168e-011
653.602387,1.05824e-010,1.05824e-010
653.609983,1.12004e-010,1.12004e-010
653.617578,4.6148e-011,4.6148e-011
653.625174,7.39652e-012,7.39652e-012
653.632769,5.33311e-012,5.33311e-012
653.640365,3.01342e-011,3.01342e-011
653.64796,5.94851e-011,5.94851e-011
653.655556,1.71052e-011,1.71052e-011
653.663151,1.41682e-011,1.41682e-011
653.670747,4.25671e-011,4.25671e-011
653.678342,2.92529e-011,2.92529e-011
653.685938,4.71971e-011,4.71971e-011
653.693533,4.8975e-011,4.8975e-011
653.701129,2.94685e-011,2.94685e-011
653.708724,2.47117e-011,2.47117e-011
653.716319,1.45976e-011,1.45976e-011
653.723915,7.48982e-012,7.48982e-012
653.73151,4.12826e-012,4.12826e-012
653.739106,5.20504e-012,5.20504e-012
653.746701,1.26965e-012,1.26965e-012
653.754297,2.52958e-011,2.52958e-011
653.761892,4.85199e-011,4.85199e-011
653.769488,7.79743e-012,7.79743e-012
653.777083,5.91256e-012,5.91256e-012
653.784679,2.4155e-013,2.4155e-013
653.792274,7.60356e-012,7.60356e-012
653.79987,2.18173e-011,2.18173e-011
653.807465,1.38168e-012,1.38168e-012
653.815061,1.19857e-011,1.19857e-011
653.822656,8.94314e-012,8.94314e-012
653.830252,3.70546e-011,3.70546e-011
653.837847,3.96612e-011,3.96612e-011
653.845443,7.92536e-012,7.92536e-012
653.853038,6.75665e-012,6.75665e-012
653.860634,5.52454e-012,5.52454e-012
653.868229,7.93917e-012,7.93917e-012
653.875825,7.14669e-012,7.14669e-012
653.88342,2.75616e-012,2.75616e-012
653.891016,3.58228e-012,3.58228e-012
653.898611,6.16325e-012,6.16325e-012
653.906207,1.80893e-011,1.80893e-011
653.913802,7.6371e-012,7.6371e-012
653.921398,3.86587e-012,3.86587e-012
653.928993,1.03784e-011,1.03784e-011
653.936589,4.57592e-011,4.57592e-011
653.944184,2.95695e-011,2.95695e-011
653.95178,2.00276e-011,2.00276e-011
653.959375,1.76068e-011,1.76068e-011
653.966971,3.83832e-012,3.83832e-012
653.974566,1.69291e-012,1.69291e-012
653.982161,5.784e-012,5.784e-012
653.989757,1.01579e-011,1.01579e-011
653.997352,7.86784e-011,7.86784e-011
654.004948,9.26532e-011,9.26532e-011
654.012543,6.67826e-011,6.67826e-011
654.020139,5.83761e-011,5.83761e-011
654.027734,5.57811e-011,5.57811e-011
654.03533,6.15117e-011,6.15117e-011
654.042925,5.83394e-011,5.83394e-011
654.050521,3.22251e-011,3.22251e-011
