Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
652.933984,1.53103e-011,1.53103e-011
652.94158,1.48747e-011,1.48747e-011
652.949175,4.0567e-012,4.0567e-012
652.956771,1.25275e-011,1.25275e-011
652.964366,2.88521e-012,2.88521e-012
652.971962,1.6526e-011,1.6526e-011
652.979557,4.00378e-011,4.00378e-011
652.987153,9.18627e-011,9.18627e-011
652.994748,5.7501e-012,5.7501e-012
653.002344,8.64395e-012,8.64395e-012
653.009939,1.59767e-011,1.59767e-011
653.017535,3.18792e-011,3.18792e-011
653.02513,3.81968e-011,3.81968e-011
653.032726,3.5453e-011,3.5453e-011
653.040321,4.55945e-011,4.55945e-011
653.047917,3.62513e-011,3.62513e-011
653.055512,3.21008e-011,3.21008e-011
653.063108,3.1619e-011,3.1619e-011
653.070703,1.98825e-011,1.98825e-011
653.078299,3.48132e-012,3.48132e-012
653.085894,1.95798e-011,1.95798e-011
653.09349,1.98225e-011,1.98225e-011
653.101085,1.40503e-011,1.40503e-011
653.108681,1.94746e-011,1.94746e-011
653.116276,1.55064e-011,1.55064e-011
653.123872,1.66107e-011,1.66107e-011
653.131467,2.18557e-011,2.18557e-011
653.139063,2.20939e-011,2.20939e-011
653.146658,2.37189e-011,2.37189e-011
653.154254,4.03188e-011,4.03188e-011
653.161849,5.5134e-011,5.5134e-011
653.169444,2.93654e-011,2.93654e-011
653.17704,2.90866e-011,2.90866e-011
653.184635,3.90318e-011,3.90318e-011
653.192231,3.92103e-011,3.92103e-011
653.199826,7.27985e-011,7.27985e-011
653.207422,5.90939e-011,5.90939e-011
653.215017,1.17787e-011,1.17787e-011
653.222613,4.10776e-011,4.10776e-011
653.230208,5.254e-011,5.254e-011
653.237804,6.15034e-011,6.15034e-011
653.245399,1.16209e-010,1.16209e-010
653.252995,4.35244e-011,4.35244e-011
653.26059,3.09752e-012,3.09752e-012
653.268186,9.33723e-013,9.33723e-013
653.275781,9.54882e-013,9.54882e-013
653.283377,2.1636e-012,2.1636e-012
653.290972,3.12622e-012,3.12622e-012
653.298568,1.03498e-011,1.03498e-011
653.306163,1.40302e-011,1.40302e-011
653.313759,2.51845e-011,2.51845e-011
653.321354,9.49411e-011,9.49411e-011
653.32895,1.33355e-010,1.33355e-010
653.336545,1.65608e-010,1.65608e-010
653.344141,1.36093e-010,1.36093e-010
653.351736,6.36857e-011,6.36857e-011
653.359332,8.00186e-011,8.00186e-011
653.366927,4.49229e-011,4.49229e-011
653.374523,3.08725e-011,3.08725e-011
653.382118,7.2162e-011,7.2162e-011
653.389714,3.18935e-011,3.18935e-011
653.397309,3.17135e-011,3.17135e-011
653.404905,4.51842e-011,4.51842e-011
653.4125,1.52558e-011,1.52558e-011
653.420096,4.88533e-012,4.88533e-012
653.427691,1.34907e-011,1.34907e-011
653.435287,1.46401e-011,1.46401e-011
653.442882,1.61513e-011,1.61513e-011
653.450477,3.21015e-011,3.21015e-011
653.458073,3.0421e-011,3.0421e-011
653.465668,6.43512e-012,6.43512e-012
653.473264,1.88308e-011,1.88308e-011
653.480859,1.81014e-011,1.81014e-011
653.488455,9.74697e-012,9.74697e-012
653.49605,5.79293e-012,5.79293e-012
653.503646,3.08269e-011,3.08269e-011
653.511241,3.06601e-011,3.06601e-011
653.518837,1.88713e-011,1.88713e-011
653.526432,5.54659e-012,5.54659e-012
653.534028,1.50922e-011,1.50922e-011
653.541623,2.48272e-011,2.48272e-011
653.549219,1.60361e-011,1.60361e-011
653.556814,1.8773e-011,1.8773e-011
653.56441,4.21902e-011,4.21902e-011
653.572005,4.41509e-011,4.41509e-011
653.579601,3.39896e-011,3.39896e-011
653.587196,3.72506e-011,3.72506e-011
653.594792,3.12383e-012,3.12383e-012
653.602387,5.5431e-012,5.5431e-012
653.609983,4.63714e-012,4.63714e-012
653.617578,2.89098e-012,2.89098e-012
653.625174,4.85412e-012,4.85412e-012
653.632769,4.85412e-012,4.85412e-012
653.640365,7.77308e-012,7.77308e-012
653.64796,2.81957e-011,2.81957e-011
653.655556,5.01627e-011,5.01627e-011
653.663151,4.34688e-011,4.34688e-011
653.670747,4.092e-011,4.092e-011
653.678342,1.9009e-011,1.9009e-011
653.685938,2.39221e-012,2.39221e-012
653.693533,2.80276e-012,2.80276e-012
653.701129,4.77345e-012,4.77345e-012
653.708724,3.35473e-012,3.35473e-012
653.716319,7.26916e-012,7.26916e-012
653.723915,1.36061e-011,1.36061e-011
653.73151,7.42712e-012,7.42712e-012
653.739106,1.72463e-011,1.72463e-011
653.746701,9.54489e-012,9.54489e-012
