Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
652.933984,1.8158e-011,1.8158e-011
652.94158,2.82945e-011,2.82945e-011
652.949175,2.64412e-011,2.64412e-011
652.956771,1.98114e-011,1.98114e-011
652.964366,1.05778e-011,1.05778e-011
652.971962,5.96236e-012,5.96236e-012
652.979557,1.9566e-011,1.9566e-011
652.987153,5.19975e-011,5.19975e-011
652.994748,1.46873e-011,1.46873e-011
653.002344,5.03854e-011,5.03854e-011
653.009939,4.01189e-011,4.01189e-011
653.017535,4.27868e-011,4.27868e-011
653.02513,8.00771e-011,8.00771e-011
653.032726,7.7532e-011,7.7532e-011
653.040321,2.26809e-011,2.26809e-011
653.047917,8.36444e-012,8.36444e-012
653.055512,2.65037e-011,2.65037e-011
653.063108,5.45586e-011,5.45586e-011
653.070703,4.47452e-011,4.47452e-011
653.078299,3.28787e-011,3.28787e-011
653.085894,6.07506e-011,6.07506e-011
653.09349,1.95191e-011,1.95191e-011
653.101085,7.98406e-012,7.98406e-012
653.108681,2.96456e-012,2.96456e-012
653.116276,2.53493e-011,2.53493e-011
653.123872,1.29246e-011,1.29246e-011
653.131467,5.45498e-012,5.45498e-012
653.139063,1.5201e-011,1.5201e-011
653.146658,2.61327e-011,2.61327e-011
653.154254,2.27263e-011,2.27263e-011
653.161849,3.0761e-011,3.0761e-011
653.169444,3.9334e-011,3.9334e-011
653.17704,4.83281e-011,4.83281e-011
653.184635,4.2388e-011,4.2388e-011
653.192231,3.14543e-011,3.14543e-011
653.199826,1.34868e-010,1.34868e-010
653.207422,9.3627e-011,9.3627e-011
653.215017,2.11431e-011,2.11431e-011
653.222613,1.64126e-011,1.64126e-011
653.230208,6.06692e-012,6.06692e-012
653.237804,3.2287e-011,3.2287e-011
653.245399,2.36565e-011,2.36565e-011
653.252995,1.34453e-011,1.34453e-011
653.26059,1.71917e-011,1.71917e-011
653.268186,4.19349e-011,4.19349e-011
653.275781,5.82782e-011,5.82782e-011
653.283377,7.60375e-011,7.60375e-011
653.290972,2.78973e-011,2.78973e-011
653.298568,1.35734e-011,1.35734e-011
653.306163,1.3977e-012,1.3977e-012
653.313759,7.59084e-011,7.59084e-011
653.321354,2.23651e-010,2.23651e-010
653.32895,2.44387e-010,2.44387e-010
653.336545,1.87267e-010,1.87267e-010
653.344141,3.67594e-011,3.67594e-011
653.351736,2.70827e-011,2.70827e-011
653.359332,5.42875e-011,5.42875e-011
653.366927,1.84539e-011,1.84539e-011
653.374523,2.03167e-012,2.03167e-012
653.382118,1.7274e-011,1.7274e-011
653.389714,3.85679e-011,3.85679e-011
653.397309,1.32187e-011,1.32187e-011
653.404905,1.69701e-011,1.69701e-011
653.4125,1.33106e-011,1.33106e-011
653.420096,3.26184e-012,3.26184e-012
653.427691,4.97204e-013,4.97204e-013
653.435287,6.87003e-012,6.87003e-012
653.442882,4.49381e-011,4.49381e-011
653.450477,9.27294e-011,9.27294e-011
653.458073,3.53767e-011,3.53767e-011
653.465668,2.37845e-011,2.37845e-011
653.473264,6.33925e-011,6.33925e-011
653.480859,1.00653e-010,1.00653e-010
653.488455,1.35203e-010,1.35203e-010
653.49605,7.52939e-011,7.52939e-011
653.503646,1.98512e-011,1.98512e-011
653.511241,2.08622e-011,2.08622e-011
653.518837,2.98056e-011,2.98056e-011
653.526432,1.04454e-011,1.04454e-011
653.534028,5.64556e-013,5.64556e-013
653.541623,3.33124e-012,3.33124e-012
653.549219,1.45201e-011,1.45201e-011
653.556814,3.77169e-011,3.77169e-011
653.56441,3.29135e-011,3.29135e-011
653.572005,3.6061e-011,3.6061e-011
653.579601,7.32645e-011,7.32645e-011
653.587196,1.09016e-010,1.09016e-010
653.594792,8.09197e-012,8.09197e-012
653.602387,1.61133e-011,1.61133e-011
653.609983,1.65093e-011,1.65093e-011
653.617578,6.01478e-012,6.01478e-012
653.625174,3.25662e-012,3.25662e-012
653.632769,3.25662e-012,3.25662e-012
653.640365,5.03324e-012,5.03324e-012
653.64796,5.4798e-012,5.4798e-012
653.655556,4.00853e-014,4.00853e-014
653.663151,1.72012e-011,1.72012e-011
653.670747,4.34635e-011,4.34635e-011
653.678342,3.64367e-011,3.64367e-011
653.685938,7.3583e-012,7.3583e-012
653.693533,1.05718e-011,1.05718e-011
653.701129,1.72967e-011,1.72967e-011
653.708724,9.65273e-012,9.65273e-012
653.716319,2.02915e-012,2.02915e-012
653.723915,5.19064e-012,5.19064e-012
653.73151,1.06527e-011,1.06527e-011
653.739106,1.44274e-011,1.44274e-011
653.746701,1.49819e-011,1.49819e-011
653.754297,2.20778e-012,2.20778e-012
653.761892,5.6105e-012,5.6105e-012
653.769488,8.97514e-012,8.97514e-012
653.777083,3.17547e-012,3.17547e-012
653.784679,2.23278e-011,2.23278e-011
653.792274,5.47157e-011,5.47157e-011
653.79987,6.29546e-011,6.29546e-011
653.807465,7.05062e-011,7.05062e-011
653.815061,6.14324e-011,6.14324e-011
653.822656,2.31276e-011,2.31276e-011
653.830252,2.80527e-011,2.80527e-011
653.837847,6.75639e-011,6.75639e-011
653.845443,1.05124e-010,1.05124e-010
653.853038,1.06173e-010,1.06173e-010
653.860634,8.07494e-011,8.07494e-011
653.868229,4.19475e-011,4.19475e-011
653.875825,1.15186e-011,1.15186e-011
653.88342,1.93868e-012,1.93868e-012
653.891016,4.81276e-011,4.81276e-011
653.898611,8.4222e-011,8.4222e-011
653.906207,5.64253e-011,5.64253e-011
653.913802,8.65162e-012,8.65162e-012
653.921398,5.67812e-012,5.67812e-012
653.928993,1.8616e-011,1.8616e-011
653.936589,1.67012e-011,1.67012e-011
653.944184,3.24798e-011,3.24798e-011
653.95178,8.68498e-011,8.68498e-011
653.959375,9.1047e-011,9.1047e-011
653.966971,3.91921e-011,3.91921e-011
653.974566,5.90021e-011,5.90021e-011
653.982161,1.04454e-010,1.04454e-010
653.989757,3.16193e-011,3.16193e-011
653.997352,2.8645e-011,2.8645e-011
654.004948,5.07863e-011,5.07863e-011
654.012543,3.06556e-011,3.06556e-011
654.020139,9.85968e-012,9.85968e-012
654.027734,6.30354e-012,6.30354e-012
654.03533,7.98379e-012,7.98379e-012
654.042925,4.96402e-012,4.96402e-012
654.050521,5.60631e-012,5.60631e-012
654.058116,1.02703e-011,1.02703e-011
654.065712,1.06464e-011,1.06464e-011
654.073307,1.17627e-011,1.17627e-011
654.080903,2.06153e-012,2.06153e-012
654.088498,1.84657e-011,1.84657e-011
654.096094,9.91295e-012,9.91295e-012
654.103689,6.6848e-013,6.6848e-013
654.111285,8.18476e-013,8.18476e-013
654.11888,9.16006e-013,9.16006e-013
654.126476,5.17803e-012,5.17803e-012
654.134071,1.96435e-011,1.96435e-011
654.141667,2.85213e-011,2.85213e-011
654.149262,2.12655e-011,2.12655e-011
654.156858,1.90862e-011,1.90862e-011
654.164453,1.6068e-011,1.6068e-011
654.172049,1.07688e-011,1.07688e-011
654.179644,2.56252e-011,2.56252e-011
