t	signal
s	
	
0	-8,14213
2,00044E-5	-6,51713
4,00088E-5	-9,51713
6,00133E-5	-21,01713
8,00177E-5	-26,26713
1,00022E-4	-24,64213
1,20027E-4	-26,51713
1,40031E-4	-18,39213
1,60035E-4	-19,76713
1,8004E-4	-15,64213
2,00044E-4	-12,01713
2,20049E-4	-13,14213
2,40053E-4	-8,76713
2,60058E-4	-7,39213
2,80062E-4	-4,14213
3,00066E-4	2,23287
3,20071E-4	-10,01713
3,40075E-4	-3,51713
3,6008E-4	2,35787
3,80084E-4	-2,64213
4,00088E-4	6,48287
4,20093E-4	12,48287
4,40097E-4	17,10787
4,60102E-4	12,23287
4,80106E-4	16,35787
5,00111E-4	16,35787
5,20115E-4	21,48287
5,40119E-4	12,98287
5,60124E-4	23,60787
5,80128E-4	18,73287
6,00133E-4	12,35787
6,20137E-4	11,73287
6,40142E-4	13,60787
6,60146E-4	7,48287
6,8015E-4	13,98287
7,00155E-4	5,48287
7,20159E-4	11,98287
7,40164E-4	12,48287
7,60168E-4	-0,39213
7,80173E-4	3,60787
8,00177E-4	1,23287
8,20181E-4	1,60787
8,40186E-4	2,23287
8,6019E-4	-1,14213
8,80195E-4	-3,01713
9,00199E-4	-9,01713
9,20204E-4	-13,51713
9,40208E-4	-9,64213
9,60212E-4	-9,76713
9,80217E-4	-9,14213
0,001	-4,51713
0,00102	-6,51713
0,00104	2,98287
0,00106	-0,89213
0,00108	-7,76713
0,0011	-4,26713
0,00112	3,73287
0,00114	3,60787
0,00116	-2,14213
0,00118	-4,39213
0,0012	0,35787
0,00122	-3,26713
0,00124	10,98287
0,00126	15,23287
0,00128	13,73287
0,0013	17,60787
0,00132	19,10787
0,00134	15,73287
0,00136	20,35787
0,00138	15,10787
0,0014	7,35787
0,00142	15,98287
0,00144	25,60787
0,00146	25,60787
0,00148	24,23287
0,0015	23,23287
0,00152	23,60787
0,00154	20,85787
0,00156	33,35787
0,00158	26,23287
0,0016	16,98287
0,00162	22,85787
0,00164	15,60787
0,00166	10,85787
0,00168	9,73287
0,0017	9,10787
0,00172	13,98287
0,00174	16,23287
0,00176	20,85787
0,00178	20,60787
0,0018	13,23287
0,00182	11,73287
0,00184	17,10787
0,00186	-0,51713
0,00188	4,48287
0,0019	5,60787
0,00192	9,60787
0,00194	11,48287
0,00196	12,23287
0,00198	6,85787
0,002	7,10787
0,00202	10,10787
0,00204	15,35787
0,00206	18,35787
0,00208	5,85787
0,0021	3,35787
0,00212	0,35787
0,00214	1,98287
0,00216	-0,89213
0,00218	-8,89213
0,0022	-11,89213
0,00222	-6,14213
0,00224	-11,14213
0,00226	-13,51713
0,00228	-19,89213
0,0023	-11,76713
0,00232	-14,64213
0,00234	-22,51713
0,00236	-20,26713
0,00238	-25,64213
0,0024	-26,64213
0,00242	-33,39213
0,00244	-39,26713
0,00246	-28,64213
0,00248	-19,39213
0,0025	-18,26713
0,00252	-14,39213
0,00254	-3,01713
0,00256	3,23287
0,00258	4,10787
0,0026	8,23287
0,00262	13,23287
0,00264	18,23287
0,00266	13,10787
0,00268	20,35787
0,0027	25,35787
0,00272	23,48287
0,00274	13,85787
0,00276	12,85787
0,00278	21,35787
0,0028	13,60787
0,00282	2,48287
0,00284	4,23287
0,00286	12,48287
0,00288	14,23287
0,0029	6,85787
0,00292	-2,89213
0,00294	-16,39213
0,00296	-13,26713
0,00298	-18,01713
0,003	-11,14213
0,00302	-13,51713
0,00304	-10,64213
0,00306	-3,14213
0,00308	3,35787
0,0031	6,73287
0,00312	3,35787
0,00314	3,35787
0,00316	12,23287
0,00318	12,35787
0,0032	12,98287
0,00322	7,85787
0,00324	5,23287
0,00326	9,48287
0,00328	7,60787
0,0033	12,48287
0,00332	20,60787
0,00334	17,10787
0,00336	24,48287
0,00338	22,85787
0,0034	20,98287
0,00342	14,35787
0,00344	19,23287
0,00346	3,10787
0,00348	8,60787
0,0035	7,10787
0,00352	8,73287
0,00354	13,23287
0,00356	15,60787
0,00358	19,73287
0,0036	15,35787
0,00362	5,85787
0,00364	-1,64213
0,00366	-2,01713
0,00368	-8,89213
0,0037	-9,26713
0,00372	-10,89213
0,00374	-8,51713
0,00376	-15,64213
0,00378	-21,89213
0,0038	-18,14213
0,00382	-11,01713
0,00384	6,60787
0,00386	-9,39213
0,00388	-15,39213
0,0039	-24,26713
0,00392	-25,39213
0,00394	-26,89213
0,00396	-22,14213
0,00398	-14,01713
0,004	-15,89213
0,00402	-10,76713
0,00404	-13,39213
0,00406	-12,89213
0,00408	-17,01713
0,0041	-12,89213
0,00412	-8,89213
0,00414	-16,76713
0,00416	-12,39213
0,00418	-20,14213
0,0042	-22,39213
0,00422	-18,39213
0,00424	-13,01713
0,00426	-6,51713
0,00428	-2,89213
0,0043	-1,64213
0,00432	10,60787
0,00434	7,10787
0,00436	15,60787
0,00438	13,23287
0,0044	12,48287
0,00442	14,98287
0,00444	12,73287
0,00446	18,35787
0,00448	20,35787
0,0045	20,85787
0,00452	21,48287
0,00454	25,60787
0,00456	23,35787
0,00458	30,73287
0,0046	36,85787
0,00462	40,48287
0,00464	35,98287
0,00466	42,85787
0,00468	37,23287
0,0047	31,35787
0,00472	35,85787
0,00474	34,85787
0,00476	34,98287
0,00478	40,23287
0,0048	41,98287
0,00482	36,60787
0,00484	33,60787
0,00486	31,48287
0,00488	37,48287
0,0049	35,60787
0,00492	42,85787
0,00494	45,10787
0,00496	39,60787
0,00498	34,73287
0,005	36,23287
0,00502	36,23287
0,00504	36,85787
0,00506	29,48287
0,00508	37,98287
0,0051	41,10787
0,00512	48,98287
0,00514	50,98287
0,00516	52,60787
0,00518	50,48287
0,0052	52,10787
0,00522	55,60787
0,00524	56,73287
0,00526	57,23287
0,00528	52,48287
0,0053	56,85787
0,00532	62,60787
0,00534	72,98287
0,00536	71,60787
0,00538	83,23287
0,0054	73,85787
0,00542	74,35787
0,00544	78,85787
0,00546	77,35787
0,00548	77,10787
0,0055	77,23287
0,00552	70,85787
0,00554	67,98287
0,00556	65,73287
0,00558	74,23287
0,0056	83,23287
0,00562	82,23287
0,00564	83,98287
0,00566	86,98287
0,00568	85,35787
0,0057	83,35787
0,00572	78,10787
0,00574	74,10787
0,00576	86,85787
0,00578	94,85787
0,0058	91,98287
0,00582	92,60787
0,00584	99,73287
0,00586	99,35787
0,00588	114,98287
0,0059	116,23287
0,00592	122,48287
0,00594	119,35787
0,00596	127,73287
0,00598	122,73287
0,006	125,10787
0,00602	125,35787
0,00604	136,35787
0,00606	142,10787
0,00608	152,98287
0,0061	159,10787
0,00612	148,10787
0,00614	150,85787
0,00616	157,48287
0,00618	169,85787
0,0062	171,23287
0,00622	169,10787
0,00624	164,23287
0,00626	159,60787
0,00628	158,98287
0,0063	160,85787
0,00632	160,23287
0,00634	162,48287
0,00636	167,98287
0,00638	177,98287
0,0064	189,73287
0,00642	174,60787
0,00644	178,73287
0,00646	178,10787
0,00648	185,60787
0,0065	189,73287
0,00652	187,10787
0,00654	173,35787
0,00656	176,23287
0,00658	174,98287
0,0066	177,73287
0,00662	189,60787
0,00664	198,48287
0,00666	196,98287
0,00668	201,60787
0,0067	200,10787
0,00672	194,60787
0,00674	190,35787
0,00676	194,35787
0,00678	193,98287
0,0068	191,85787
0,00682	193,73287
0,00684	194,23287
0,00686	193,73287
0,00688	196,10787
0,0069	200,35787
0,00692	206,35787
0,00694	211,23287
0,00696	207,73287
0,00698	215,60787
0,007	206,98287
0,00702	207,48287
0,00704	206,35787
0,00706	207,85787
0,00708	217,60787
0,0071	219,48287
0,00712	228,10787
0,00714	232,98287
0,00716	229,73287
0,00718	226,10787
0,0072	226,98287
0,00722	236,60787
0,00724	241,10787
0,00726	245,60787
0,00728	247,23287
0,0073	250,60787
0,00732	246,23287
0,00734	243,73287
0,00736	243,48287
0,00738	237,35787
0,0074	236,98287
0,00742	240,23287
0,00744	229,85787
0,00746	231,23287
0,00748	232,48287
0,0075	246,48287
0,00752	245,85787
0,00754	246,85787
0,00756	249,23287
0,00758	245,10787
0,0076	240,35787
0,00762	242,35787
0,00764	246,48287
0,00766	252,48287
0,00768	254,73287
0,0077	262,23287
0,00772	267,35787
0,00774	274,10787
0,00776	270,98287
0,00778	284,23287
0,0078	282,35787
0,00782	293,23287
0,00784	282,73287
0,00786	277,23287
0,00788	275,48287
0,0079	274,48287
0,00792	278,98287
0,00794	279,85787
0,00796	286,10787
0,00798	288,10787
0,008	289,85787
0,00802	278,98287
0,00804	274,48287
0,00806	274,98287
0,00808	281,60787
0,0081	276,23287
0,00812	276,48287
0,00814	274,35787
0,00816	270,48287
0,00818	281,85787
0,0082	282,10787
0,00822	278,98287
0,00824	272,35787
0,00826	271,35787
0,00828	273,60787
0,0083	275,35787
0,00832	267,35787
0,00834	268,10787
0,00836	266,48287
0,00838	266,73287
0,0084	270,10787
0,00842	263,35787
0,00844	259,23287
0,00846	250,35787
0,00848	243,98287
0,0085	240,48287
0,00852	243,73287
0,00854	236,60787
0,00856	229,35787
0,00858	218,85787
0,0086	214,60787
0,00862	216,23287
0,00864	221,85787
0,00866	220,35787
0,00868	224,73287
0,0087	219,48287
0,00872	210,85787
0,00874	209,73287
0,00876	209,85787
0,00878	208,73287
0,0088	208,48287
0,00882	209,73287
0,00884	202,23287
0,00886	198,98287
0,00888	194,85787
0,0089	188,10787
0,00892	195,60787
0,00894	196,10787
0,00896	192,60787
0,00898	193,98287
0,009	189,73287
0,00902	182,73287
0,00904	188,23287
0,00906	184,60787
0,00908	181,35787
0,0091	182,73287
0,00912	184,60787
0,00914	186,73287
0,00916	189,48287
0,00918	198,98287
0,0092	213,73287
0,00922	219,60787
0,00924	224,60787
0,00926	223,60787
0,00928	213,35787
0,0093	223,10787
0,00932	222,98287
0,00934	232,60787
0,00936	218,98287
0,00938	222,60787
0,0094	222,35787
0,00942	225,73287
0,00944	225,60787
0,00946	217,48287
0,00948	215,35787
0,0095	211,85787
0,00952	195,35787
0,00954	184,35787
0,00956	178,98287
0,00958	180,48287
0,0096	175,48287
0,00962	181,85787
0,00964	169,48287
0,00966	171,48287
0,00968	163,98287
0,0097	167,35787
0,00972	173,48287
0,00974	177,73287
0,00976	170,48287
0,00978	173,35787
0,0098	158,10787
0,00982	159,60787
0,00984	160,73287
0,00986	170,23287
0,00988	164,10787
0,0099	171,60787
0,00992	171,35787
0,00994	164,48287
0,00996	158,10787
0,00998	159,23287
0,01	164,48287
0,01002	155,48287
0,01004	156,73287
0,01006	155,23287
0,01008	149,73287
0,0101	148,60787
0,01012	142,48287
0,01014	142,85787
0,01016	145,98287
0,01018	134,48287
0,0102	133,35787
0,01022	131,73287
0,01024	122,98287
0,01026	124,23287
0,01028	124,60787
0,0103	131,23287
0,01032	130,98287
0,01034	115,48287
0,01036	120,48287
0,01038	115,10787
0,0104	112,60787
0,01042	100,73287
0,01044	93,73287
0,01046	98,35787
0,01048	92,23287
0,0105	90,73287
0,01052	89,98287
0,01054	85,60787
0,01056	82,98287
0,01058	82,60787
0,0106	84,73287
0,01062	75,85787
0,01064	70,10787
0,01066	70,60787
0,01068	61,98287
0,0107	63,48287
0,01072	66,98287
0,01074	50,73287
0,01076	49,48287
0,01078	50,48287
0,0108	51,98287
0,01082	50,23287
0,01084	52,10787
0,01086	59,48287
0,01088	60,98287
0,0109	57,60787
0,01092	52,48287
0,01094	56,73287
0,01096	61,48287
0,01098	63,73287
0,011	62,73287
0,01102	65,85787
0,01104	70,60787
0,01106	65,73287
0,01108	76,48287
0,0111	84,60787
0,01112	88,98287
0,01114	74,35787
0,01116	88,98287
0,01118	76,85787
0,0112	79,98287
0,01122	67,98287
0,01124	62,35787
0,01126	66,73287
0,01128	60,10787
0,0113	65,85787
0,01132	73,73287
0,01134	75,48287
0,01136	70,85787
0,01138	70,23287
0,0114	62,60787
0,01142	61,73287
0,01144	58,48287
0,01146	58,85787
0,01148	55,35787
0,0115	49,85787
0,01152	47,98287
0,01154	44,35787
0,01156	50,85787
0,01158	49,10787
0,0116	55,10787
0,01162	53,73287
0,01164	50,73287
0,01166	45,35787
0,01168	40,48287
0,0117	46,10787
0,01172	41,98287
0,01174	49,10787
0,01176	41,10787
0,01178	33,98287
0,0118	18,10787
0,01182	25,35787
0,01184	36,10787
0,01186	44,35787
0,01188	49,85787
0,0119	45,10787
0,01192	33,23287
0,01194	33,10787
0,01196	36,10787
0,01198	35,35787
0,012	30,48287
0,01202	22,48287
0,01204	21,73287
0,01206	19,10787
0,01208	18,60787
0,0121	15,23287
0,01212	11,98287
0,01214	10,73287
0,01216	17,23287
0,01218	20,98287
0,0122	-0,14213
0,01222	-7,64213
0,01224	-7,26713
0,01226	-3,51713
0,01228	-8,76713
0,0123	-4,26713
0,01232	-7,14213
0,01234	-0,64213
0,01236	-2,14213
0,01238	-3,14213
0,0124	1,73287
0,01242	2,10787
0,01244	2,98287
0,01246	1,60787
0,01248	5,35787
0,0125	10,98287
0,01252	17,23287
0,01254	19,23287
0,01256	26,60787
0,01258	26,73287
0,0126	22,98287
0,01262	31,85787
0,01264	32,10787
0,01266	23,73287
0,01268	19,73287
0,0127	15,73287
0,01272	18,23287
0,01274	23,73287
0,01276	24,35787
0,01278	32,85787
0,0128	31,60787
0,01282	28,73287
0,01284	25,23287
0,01286	13,23287
0,01288	19,85787
0,0129	15,60787
0,01292	16,10787
0,01294	21,85787
0,01296	21,35787
0,01298	17,73287
0,013	14,48287
0,01302	19,85787
0,01304	23,73287
0,01306	20,73287
0,01308	24,73287
0,0131	21,35787
0,01312	20,10787
0,01314	28,48287
0,01316	23,98287
0,01318	8,98287
0,0132	20,48287
0,01322	14,98287
0,01324	16,10787
0,01326	19,73287
0,01328	14,10787
0,0133	5,48287
0,01332	6,35787
0,01334	7,85787
0,01336	9,48287
0,01338	11,48287
0,0134	0,35787
0,01342	1,23287
0,01344	-3,51713
0,01346	4,48287
0,01348	-9,01713
0,0135	-6,26713
0,01352	2,73287
0,01354	5,35787
0,01356	-0,14213
0,01358	3,85787
0,0136	5,23287
0,01362	2,85787
0,01364	0,48287
0,01366	1,23287
0,01368	2,35787
0,0137	3,48287
0,01372	7,10787
0,01374	-2,14213
0,01376	-4,89213
0,01378	-2,39213
0,0138	0,23287
0,01382	2,23287
0,01384	-0,89213
0,01386	-3,01713
0,01388	-12,01713
0,0139	-17,64213
0,01392	-21,39213
0,01394	-20,76713
0,01396	-25,89213
0,01398	-22,51713
0,014	-19,26713
0,01402	-24,89213
0,01404	-26,76713
0,01406	-33,01713
0,01408	-26,01713
0,0141	-19,76713
0,01412	-22,64213
0,01414	-15,51713
0,01416	-11,39213
0,01418	-15,89213
0,0142	-3,76713
0,01422	-5,76713
0,01424	-1,01713
0,01426	-1,01713
0,01428	-6,01713
0,0143	-7,39213
0,01432	-2,39213
0,01434	7,48287
0,01436	14,98287
0,01438	14,60787
0,0144	28,48287
0,01442	24,35787
0,01444	19,73287
0,01446	18,35787
0,01448	12,98287
0,0145	7,98287
0,01452	6,10787
0,01454	4,98287
0,01456	-0,51713
0,01458	0,48287
0,0146	-7,51713
0,01462	-1,64213
0,01464	7,85787
0,01466	10,48287
0,01468	4,60787
0,0147	1,73287
0,01472	11,48287
0,01474	23,23287
0,01476	8,10787
0,01478	8,73287
0,0148	-0,64213
0,01482	2,35787
0,01484	9,48287
0,01486	2,10787
0,01488	-6,01713
0,0149	8,35787
0,01492	6,60787
0,01494	7,10787
0,01496	2,35787
0,01498	0,10787
0,015	5,10787
0,01502	4,48287
0,01504	0,10787
0,01506	-0,89213
0,01508	-11,14213
0,0151	-12,64213
0,01512	-13,39213
0,01514	-3,76713
0,01516	3,85787
0,01518	1,60787
0,0152	15,10787
0,01522	18,48287
0,01524	20,35787
0,01526	20,73287
0,01528	21,23287
0,0153	12,10787
0,01532	14,10787
0,01534	13,35787
0,01536	7,10787
0,01538	7,98287
0,0154	18,23287
0,01542	20,73287
0,01544	12,98287
0,01546	13,23287
0,01548	9,35787
0,0155	7,60787
0,01552	7,85787
0,01554	-1,76713
0,01556	-7,14213
0,01558	-2,26713
0,0156	-4,26713
0,01562	0,48287
0,01564	4,60787
0,01566	-0,51713
0,01568	-2,76713
0,0157	-4,89213
0,01572	1,10787
0,01574	-18,89213
0,01576	-26,64213
0,01578	-35,39213
0,0158	-26,14213
0,01582	-17,26713
0,01584	-20,26713
0,01586	-16,01713
0,01588	-17,64213
0,0159	-19,26713
0,01592	-16,76713
0,01594	-19,01713
0,01596	-21,26713
0,01598	-15,76713
0,016	-17,51713
0,01602	-15,76713
0,01604	-14,89213
0,01606	-9,26713
0,01608	4,73287
0,0161	11,98287
0,01612	18,73287
0,01614	20,60787
